,module_category,component_category,year,month,number_repair,time
63,M1,P04,2008,12,5,12
64,M1,P04,2009,1,5,13
65,M1,P04,2009,4,3,16
66,M1,P04,2009,6,1,18
67,M1,P04,2009,7,2,19
68,M1,P04,2009,8,1,20
69,M1,P04,2009,9,2,21
70,M1,P05,2006,4,1,-20
71,M1,P05,2006,6,2,-18
72,M1,P05,2006,7,5,-17
73,M1,P05,2006,8,1,-16
74,M1,P05,2006,9,3,-15
75,M1,P05,2006,10,5,-14
76,M1,P05,2006,11,12,-13
77,M1,P05,2006,12,11,-12
78,M1,P05,2007,1,12,-11
79,M1,P05,2007,2,16,-10
80,M1,P05,2007,3,23,-9
81,M1,P05,2007,4,13,-8
82,M1,P05,2007,5,12,-7
83,M1,P05,2007,6,15,-6
84,M1,P05,2007,7,14,-5
85,M1,P05,2007,8,7,-4
86,M1,P05,2007,9,17,-3
87,M1,P05,2007,10,13,-2
88,M1,P05,2007,11,11,-1
89,M1,P05,2007,12,8,0
90,M1,P05,2008,1,7,1
91,M1,P05,2008,2,13,2
92,M1,P05,2008,3,15,3
93,M1,P05,2008,4,8,4
94,M1,P05,2008,5,8,5
95,M1,P05,2008,6,5,6
96,M1,P05,2008,7,4,7
97,M1,P05,2008,8,5,8
98,M1,P05,2008,9,12,9
99,M1,P05,2008,10,3,10
100,M1,P05,2008,11,5,11
101,M1,P05,2008,12,8,12
102,M1,P05,2009,1,6,13
103,M1,P05,2009,2,1,14
104,M1,P05,2009,3,3,15
105,M1,P05,2009,4,2,16
106,M1,P05,2009,5,3,17
107,M1,P06,2006,4,3,-20
108,M1,P06,2006,5,11,-19
109,M1,P06,2006,6,44,-18
110,M1,P06,2006,7,64,-17
111,M1,P06,2006,8,79,-16
112,M1,P06,2006,9,131,-15
113,M1,P06,2006,10,182,-14
114,M1,P06,2006,11,179,-13
115,M1,P06,2006,12,206,-12
116,M1,P06,2007,1,248,-11
117,M1,P06,2007,2,198,-10
118,M1,P06,2007,3,215,-9
119,M1,P06,2007,4,207,-8
120,M1,P06,2007,5,184,-7
121,M1,P06,2007,6,206,-6
122,M1,P06,2007,7,271,-5
123,M1,P06,2007,8,231,-4
124,M1,P06,2007,9,273,-3
125,M1,P06,2007,10,216,-2
126,M1,P06,2007,11,197,-1
127,M1,P06,2007,12,168,0
128,M1,P06,2008,1,179,1
129,M1,P06,2008,2,153,2
130,M1,P06,2008,3,180,3
131,M1,P06,2008,4,162,4
132,M1,P06,2008,5,140,5
133,M1,P06,2008,6,147,6
134,M1,P06,2008,7,122,7
135,M1,P06,2008,8,134,8
136,M1,P06,2008,9,114,9
137,M1,P06,2008,10,113,10
138,M1,P06,2008,11,67,11
139,M1,P06,2008,12,68,12
140,M1,P06,2009,1,39,13
141,M1,P06,2009,2,29,14
142,M1,P06,2009,3,29,15
143,M1,P06,2009,4,10,16
144,M1,P06,2009,5,13,17
145,M1,P06,2009,6,9,18
146,M1,P06,2009,7,7,19
147,M1,P06,2009,8,5,20
148,M1,P06,2009,9,4,21
149,M1,P06,2009,10,3,22
150,M1,P06,2009,11,4,23
151,M1,P06,2009,12,4,24
152,M1,P09,2006,6,1,-18
153,M1,P09,2006,7,1,-17
154,M1,P09,2006,8,1,-16
155,M1,P09,2006,9,1,-15
156,M1,P09,2006,10,3,-14
157,M1,P09,2006,11,4,-13
158,M1,P09,2006,12,10,-12
159,M1,P09,2007,1,6,-11
160,M1,P09,2007,2,7,-10
161,M1,P09,2007,3,7,-9
162,M1,P09,2007,4,8,-8
163,M1,P09,2007,5,9,-7
164,M1,P09,2007,6,6,-6
165,M1,P09,2007,7,15,-5
166,M1,P09,2007,8,5,-4
167,M1,P09,2007,9,12,-3
168,M1,P09,2007,10,14,-2
169,M1,P09,2007,11,18,-1
170,M1,P09,2007,12,8,0
171,M1,P09,2008,1,10,1
172,M1,P09,2008,2,24,2
173,M1,P09,2008,3,22,3
174,M1,P09,2008,4,17,4
175,M1,P09,2008,5,21,5
176,M1,P09,2008,6,18,6
177,M1,P09,2008,7,20,7
178,M1,P09,2008,8,4,8
179,M1,P09,2008,9,20,9
180,M1,P09,2008,10,10,10
181,M1,P09,2008,11,15,11
182,M1,P09,2008,12,7,12
183,M1,P09,2009,1,7,13
184,M1,P09,2009,2,2,14
185,M1,P09,2009,3,6,15
186,M1,P09,2009,4,4,16
187,M1,P09,2009,6,1,18
188,M1,P09,2009,7,3,19
189,M1,P09,2009,8,4,20
190,M1,P09,2009,9,1,21
191,M1,P09,2009,10,3,22
192,M1,P10,2006,12,1,-12
193,M1,P11,2006,5,1,-19
194,M1,P11,2006,6,1,-18
195,M1,P11,2006,7,5,-17
196,M1,P11,2006,8,7,-16
197,M1,P11,2006,9,5,-15
198,M1,P11,2006,10,4,-14
199,M1,P11,2006,11,14,-13
200,M1,P11,2006,12,14,-12
201,M1,P11,2007,1,11,-11
202,M1,P11,2007,2,18,-10
203,M1,P11,2007,3,16,-9
204,M1,P11,2007,4,15,-8
205,M1,P11,2007,5,7,-7
206,M1,P11,2007,6,8,-6
207,M1,P11,2007,7,12,-5
208,M1,P11,2007,8,14,-4
209,M1,P11,2007,9,14,-3
210,M1,P11,2007,10,14,-2
211,M1,P11,2007,11,14,-1
212,M1,P11,2007,12,8,0
213,M1,P11,2008,1,10,1
214,M1,P11,2008,2,15,2
215,M1,P11,2008,3,16,3
216,M1,P11,2008,4,12,4
217,M1,P11,2008,5,12,5
218,M1,P11,2008,6,8,6
219,M1,P11,2008,7,5,7
220,M1,P11,2008,8,3,8
221,M1,P11,2008,9,7,9
222,M1,P11,2008,10,10,10
223,M1,P11,2008,11,7,11
224,M1,P11,2008,12,1,12
225,M1,P11,2009,1,8,13
226,M1,P11,2009,2,4,14
227,M1,P11,2009,3,4,15
228,M1,P11,2009,4,2,16
229,M1,P11,2009,5,1,17
230,M1,P11,2009,7,1,19
231,M1,P11,2009,8,2,20
232,M1,P11,2009,9,1,21
233,M1,P11,2009,10,1,22
234,M1,P12,2006,4,3,-20
235,M1,P12,2006,5,5,-19
236,M1,P12,2006,6,9,-18
237,M1,P12,2006,7,21,-17
238,M1,P12,2006,8,25,-16
239,M1,P12,2006,9,21,-15
240,M1,P12,2006,10,58,-14
241,M1,P12,2006,11,69,-13
242,M1,P12,2006,12,80,-12
243,M1,P12,2007,1,95,-11
244,M1,P12,2007,2,97,-10
245,M1,P12,2007,3,145,-9
246,M1,P12,2007,4,129,-8
247,M1,P12,2007,5,119,-7
248,M1,P12,2007,6,119,-6
249,M1,P12,2007,7,141,-5
250,M1,P12,2007,8,109,-4
251,M1,P12,2007,9,171,-3
252,M1,P12,2007,10,142,-2
253,M1,P12,2007,11,111,-1
254,M1,P12,2007,12,102,0
255,M1,P12,2008,1,154,1
256,M1,P12,2008,2,145,2
257,M1,P12,2008,3,144,3
258,M1,P12,2008,4,92,4
259,M1,P12,2008,5,83,5
260,M1,P12,2008,6,92,6
261,M1,P12,2008,7,107,7
262,M1,P12,2008,8,97,8
263,M1,P12,2008,9,126,9
264,M1,P12,2008,10,111,10
265,M1,P12,2008,11,69,11
266,M1,P12,2008,12,57,12
267,M1,P12,2009,1,35,13
268,M1,P12,2009,2,20,14
269,M1,P12,2009,3,25,15
270,M1,P12,2009,4,18,16
271,M1,P12,2009,5,6,17
272,M1,P12,2009,6,7,18
273,M1,P12,2009,7,5,19
274,M1,P12,2009,8,8,20
275,M1,P12,2009,9,10,21
276,M1,P12,2009,10,3,22
277,M1,P12,2009,11,2,23
278,M1,P12,2009,12,1,24
279,M1,P13,2006,4,1,-20
280,M1,P13,2006,5,1,-19
281,M1,P13,2006,6,2,-18
282,M1,P13,2006,7,8,-17
283,M1,P13,2006,8,4,-16
284,M1,P13,2006,9,7,-15
285,M1,P13,2006,10,15,-14
286,M1,P13,2006,11,14,-13
287,M1,P13,2006,12,23,-12
288,M1,P13,2007,1,14,-11
289,M1,P13,2007,2,13,-10
290,M1,P13,2007,3,14,-9
291,M1,P13,2007,4,27,-8
292,M1,P13,2007,5,15,-7
293,M1,P13,2007,6,12,-6
294,M1,P13,2007,7,20,-5
295,M1,P13,2007,8,12,-4
296,M1,P13,2007,9,17,-3
297,M1,P13,2007,10,18,-2
298,M1,P13,2007,11,20,-1
299,M1,P13,2007,12,20,0
300,M1,P13,2008,1,11,1
301,M1,P13,2008,2,12,2
302,M1,P13,2008,3,21,3
303,M1,P13,2008,4,15,4
304,M1,P13,2008,5,7,5
305,M1,P13,2008,6,14,6
306,M1,P13,2008,7,4,7
307,M1,P13,2008,8,11,8
308,M1,P13,2008,9,17,9
309,M1,P13,2008,10,15,10
310,M1,P13,2008,11,10,11
311,M1,P13,2008,12,6,12
312,M1,P13,2009,1,7,13
313,M1,P13,2009,2,4,14
314,M1,P13,2009,3,2,15
315,M1,P13,2009,4,1,16
316,M1,P13,2009,5,1,17
317,M1,P13,2009,6,1,18
318,M1,P13,2009,7,1,19
319,M1,P13,2009,9,2,21
320,M1,P15,2006,4,1,-20
321,M1,P15,2006,5,10,-19
322,M1,P15,2006,6,4,-18
323,M1,P15,2006,7,12,-17
324,M1,P15,2006,8,20,-16
325,M1,P15,2006,9,23,-15
326,M1,P15,2006,10,32,-14
327,M1,P15,2006,11,41,-13
328,M1,P15,2006,12,41,-12
329,M1,P15,2007,1,29,-11
330,M1,P15,2007,2,41,-10
331,M1,P15,2007,3,32,-9
332,M1,P15,2007,4,43,-8
333,M1,P15,2007,5,34,-7
334,M1,P15,2007,6,45,-6
335,M1,P15,2007,7,44,-5
336,M1,P15,2007,8,41,-4
337,M1,P15,2007,9,49,-3
338,M1,P15,2007,10,32,-2
339,M1,P15,2007,11,33,-1
340,M1,P15,2007,12,41,0
341,M1,P15,2008,1,29,1
342,M1,P15,2008,2,46,2
343,M1,P15,2008,3,37,3
344,M1,P15,2008,4,27,4
345,M1,P15,2008,5,30,5
346,M1,P15,2008,6,38,6
347,M1,P15,2008,7,24,7
348,M1,P15,2008,8,24,8
349,M1,P15,2008,9,28,9
350,M1,P15,2008,10,24,10
351,M1,P15,2008,11,14,11
352,M1,P15,2008,12,16,12
353,M1,P15,2009,1,7,13
354,M1,P15,2009,2,6,14
355,M1,P15,2009,3,3,15
356,M1,P15,2009,5,8,17
357,M1,P15,2009,6,4,18
358,M1,P15,2009,7,2,19
359,M1,P15,2009,8,1,20
360,M1,P15,2009,9,3,21
361,M1,P15,2009,10,1,22
362,M1,P15,2009,11,3,23
363,M1,P16,2006,4,2,-20
364,M1,P16,2006,5,3,-19
365,M1,P16,2006,6,7,-18
366,M1,P16,2006,7,13,-17
367,M1,P16,2006,8,17,-16
368,M1,P16,2006,9,21,-15
369,M1,P16,2006,10,39,-14
370,M1,P16,2006,11,24,-13
371,M1,P16,2006,12,37,-12
372,M1,P16,2007,1,46,-11
373,M1,P16,2007,2,56,-10
374,M1,P16,2007,3,56,-9
375,M1,P16,2007,4,74,-8
376,M1,P16,2007,5,38,-7
377,M1,P16,2007,6,49,-6
378,M1,P16,2007,7,44,-5
379,M1,P16,2007,8,66,-4
380,M1,P16,2007,9,54,-3
381,M1,P16,2007,10,60,-2
382,M1,P16,2007,11,80,-1
383,M1,P16,2007,12,41,0
384,M1,P16,2008,1,62,1
385,M1,P16,2008,2,55,2
386,M1,P16,2008,3,75,3
387,M1,P16,2008,4,48,4
388,M1,P16,2008,5,33,5
389,M1,P16,2008,6,62,6
390,M1,P16,2008,7,57,7
391,M1,P16,2008,8,51,8
392,M1,P16,2008,9,48,9
393,M1,P16,2008,10,45,10
394,M1,P16,2008,11,29,11
395,M1,P16,2008,12,21,12
396,M1,P16,2009,1,25,13
397,M1,P16,2009,2,12,14
398,M1,P16,2009,3,16,15
399,M1,P16,2009,4,9,16
400,M1,P16,2009,5,10,17
401,M1,P16,2009,6,7,18
402,M1,P16,2009,7,2,19
403,M1,P16,2009,8,12,20
404,M1,P16,2009,9,7,21
405,M1,P16,2009,10,3,22
406,M1,P16,2009,11,4,23
407,M1,P16,2009,12,5,24
408,M1,P17,2006,6,1,-18
409,M1,P17,2006,7,2,-17
410,M1,P17,2006,8,1,-16
411,M1,P17,2006,9,3,-15
412,M1,P17,2006,10,5,-14
413,M1,P17,2006,11,7,-13
414,M1,P17,2006,12,10,-12
415,M1,P17,2007,1,10,-11
416,M1,P17,2007,2,6,-10
417,M1,P17,2007,3,14,-9
418,M1,P17,2007,4,12,-8
419,M1,P17,2007,5,14,-7
420,M1,P17,2007,6,11,-6
421,M1,P17,2007,7,15,-5
422,M1,P17,2007,8,13,-4
423,M1,P17,2007,9,12,-3
424,M1,P17,2007,10,7,-2
425,M1,P17,2007,11,7,-1
426,M1,P17,2007,12,7,0
427,M1,P17,2008,1,5,1
428,M1,P17,2008,2,6,2
429,M1,P17,2008,3,14,3
430,M1,P17,2008,4,12,4
431,M1,P17,2008,5,12,5
432,M1,P17,2008,6,7,6
433,M1,P17,2008,7,5,7
434,M1,P17,2008,8,6,8
435,M1,P17,2008,9,1,9
436,M1,P17,2008,10,2,10
437,M1,P17,2008,11,3,11
438,M1,P17,2008,12,2,12
439,M1,P17,2009,1,4,13
440,M1,P17,2009,2,5,14
441,M1,P17,2009,4,4,16
442,M1,P17,2009,5,1,17
443,M1,P17,2009,9,4,21
444,M1,P17,2009,11,2,23
445,M1,P19,2006,6,1,-18
446,M1,P19,2006,7,1,-17
447,M1,P19,2006,8,2,-16
448,M1,P19,2006,9,1,-15
449,M1,P19,2006,10,8,-14
450,M1,P19,2006,11,4,-13
451,M1,P19,2006,12,8,-12
452,M1,P19,2007,1,5,-11
453,M1,P19,2007,2,7,-10
454,M1,P19,2007,3,4,-9
455,M1,P19,2007,4,3,-8
456,M1,P19,2007,5,6,-7
457,M1,P19,2007,6,3,-6
458,M1,P19,2007,7,6,-5
459,M1,P19,2007,8,3,-4
460,M1,P19,2007,9,5,-3
461,M1,P19,2007,10,5,-2
462,M1,P19,2007,11,4,-1
463,M1,P19,2007,12,2,0
464,M1,P19,2008,1,4,1
465,M1,P19,2008,2,2,2
466,M1,P19,2008,3,8,3
467,M1,P19,2008,4,3,4
468,M1,P19,2008,5,3,5
469,M1,P19,2008,6,2,6
470,M1,P19,2008,8,4,8
471,M1,P19,2008,9,5,9
472,M1,P19,2008,10,2,10
473,M1,P19,2008,11,1,11
474,M1,P19,2008,12,1,12
475,M1,P19,2009,2,2,14
476,M1,P19,2009,9,1,21
477,M1,P20,2006,4,5,-20
478,M1,P20,2006,5,14,-19
479,M1,P20,2006,6,31,-18
480,M1,P20,2006,7,55,-17
481,M1,P20,2006,8,57,-16
482,M1,P20,2006,9,89,-15
483,M1,P20,2006,10,134,-14
484,M1,P20,2006,11,148,-13
485,M1,P20,2006,12,189,-12
486,M1,P20,2007,1,210,-11
487,M1,P20,2007,2,179,-10
488,M1,P20,2007,3,221,-9
489,M1,P20,2007,4,210,-8
490,M1,P20,2007,5,188,-7
491,M1,P20,2007,6,201,-6
492,M1,P20,2007,7,214,-5
493,M1,P20,2007,8,174,-4
494,M1,P20,2007,9,216,-3
495,M1,P20,2007,10,180,-2
496,M1,P20,2007,11,225,-1
497,M1,P20,2007,12,170,0
498,M1,P20,2008,1,171,1
499,M1,P20,2008,2,158,2
500,M1,P20,2008,3,171,3
501,M1,P20,2008,4,151,4
502,M1,P20,2008,5,120,5
503,M1,P20,2008,6,123,6
504,M1,P20,2008,7,114,7
505,M1,P20,2008,8,92,8
506,M1,P20,2008,9,104,9
507,M1,P20,2008,10,77,10
508,M1,P20,2008,11,63,11
509,M1,P20,2008,12,38,12
510,M1,P20,2009,1,33,13
511,M1,P20,2009,2,24,14
512,M1,P20,2009,3,12,15
513,M1,P20,2009,4,11,16
514,M1,P20,2009,5,8,17
515,M1,P20,2009,6,2,18
516,M1,P20,2009,7,3,19
517,M1,P20,2009,9,2,21
518,M1,P20,2009,10,2,22
519,M1,P20,2009,11,1,23
520,M1,P21,2006,4,1,-20
521,M1,P21,2006,6,3,-18
522,M1,P21,2006,7,12,-17
523,M1,P21,2006,8,13,-16
524,M1,P21,2006,9,30,-15
525,M1,P21,2006,10,47,-14
526,M1,P21,2006,11,48,-13
527,M1,P21,2006,12,50,-12
528,M1,P21,2007,1,49,-11
529,M1,P21,2007,2,32,-10
530,M1,P21,2007,3,41,-9
531,M1,P21,2007,4,33,-8
532,M1,P21,2007,5,36,-7
533,M1,P21,2007,6,26,-6
534,M1,P21,2007,7,28,-5
535,M1,P21,2007,8,23,-4
536,M1,P21,2007,9,24,-3
537,M1,P21,2007,10,25,-2
538,M1,P21,2007,11,37,-1
539,M1,P21,2007,12,21,0
540,M1,P21,2008,1,16,1
541,M1,P21,2008,2,19,2
542,M1,P21,2008,3,11,3
543,M1,P21,2008,4,14,4
544,M1,P21,2008,5,11,5
545,M1,P21,2008,6,11,6
546,M1,P21,2008,7,7,7
547,M1,P21,2008,8,15,8
548,M1,P21,2008,9,14,9
549,M1,P21,2008,10,10,10
550,M1,P21,2008,11,8,11
551,M1,P21,2008,12,12,12
552,M1,P21,2009,1,12,13
553,M1,P21,2009,2,3,14
554,M1,P21,2009,3,5,15
555,M1,P21,2009,4,5,16
556,M1,P21,2009,5,1,17
557,M1,P21,2009,6,4,18
558,M1,P21,2009,7,2,19
559,M1,P21,2009,8,3,20
560,M1,P21,2009,9,1,21
561,M1,P21,2009,10,1,22
562,M1,P22,2006,7,2,-17
563,M1,P22,2006,8,1,-16
564,M1,P22,2006,10,1,-14
565,M1,P22,2006,12,5,-12
566,M1,P22,2007,1,5,-11
567,M1,P22,2007,3,1,-9
568,M1,P22,2007,4,1,-8
569,M1,P22,2007,5,1,-7
570,M1,P22,2007,7,2,-5
571,M1,P22,2007,8,1,-4
572,M1,P22,2007,9,4,-3
573,M1,P22,2007,10,3,-2
574,M1,P22,2007,11,1,-1
575,M1,P22,2007,12,8,0
576,M1,P22,2008,2,2,2
577,M1,P22,2008,3,3,3
578,M1,P22,2008,5,3,5
579,M1,P22,2008,6,3,6
580,M1,P22,2008,7,3,7
581,M1,P22,2008,8,1,8
582,M1,P22,2008,9,2,9
583,M1,P22,2008,10,4,10
584,M1,P22,2008,11,1,11
585,M1,P22,2008,12,1,12
586,M1,P22,2009,1,1,13
587,M1,P22,2009,3,1,15
588,M1,P22,2009,4,2,16
589,M1,P24,2006,4,1,-20
590,M1,P24,2006,5,3,-19
591,M1,P24,2006,6,8,-18
592,M1,P24,2006,7,17,-17
593,M1,P24,2006,8,24,-16
594,M1,P24,2006,9,34,-15
595,M1,P24,2006,10,51,-14
596,M1,P24,2006,11,48,-13
597,M1,P24,2006,12,50,-12
598,M1,P24,2007,1,75,-11
599,M1,P24,2007,2,79,-10
600,M1,P24,2007,3,60,-9
601,M1,P24,2007,4,57,-8
602,M1,P24,2007,5,57,-7
603,M1,P24,2007,6,70,-6
604,M1,P24,2007,7,66,-5
605,M1,P24,2007,8,52,-4
606,M1,P24,2007,9,79,-3
607,M1,P24,2007,10,67,-2
608,M1,P24,2007,11,62,-1
609,M1,P24,2007,12,54,0
610,M1,P24,2008,1,67,1
611,M1,P24,2008,2,49,2
612,M1,P24,2008,3,69,3
613,M1,P24,2008,4,66,4
614,M1,P24,2008,5,49,5
615,M1,P24,2008,6,55,6
616,M1,P24,2008,7,69,7
617,M1,P24,2008,8,49,8
618,M1,P24,2008,9,47,9
619,M1,P24,2008,10,30,10
620,M1,P24,2008,11,45,11
621,M1,P24,2008,12,23,12
622,M1,P24,2009,1,13,13
623,M1,P24,2009,2,7,14
624,M1,P24,2009,3,4,15
625,M1,P24,2009,4,4,16
626,M1,P24,2009,5,5,17
627,M1,P24,2009,6,3,18
628,M1,P24,2009,8,1,20
629,M1,P24,2009,10,1,22
630,M1,P25,2007,9,1,-3
631,M1,P26,2006,5,2,-19
632,M1,P26,2006,6,7,-18
633,M1,P26,2006,7,5,-17
634,M1,P26,2006,8,12,-16
635,M1,P26,2006,9,14,-15
636,M1,P26,2006,10,16,-14
637,M1,P26,2006,11,16,-13
638,M1,P26,2006,12,18,-12
639,M1,P26,2007,1,20,-11
640,M1,P26,2007,2,12,-10
641,M1,P26,2007,3,18,-9
642,M1,P26,2007,4,16,-8
643,M1,P26,2007,5,14,-7
644,M1,P26,2007,6,8,-6
645,M1,P26,2007,7,10,-5
646,M1,P26,2007,8,9,-4
647,M1,P26,2007,9,9,-3
648,M1,P26,2007,10,7,-2
649,M1,P26,2007,11,8,-1
650,M1,P26,2007,12,7,0
651,M1,P26,2008,1,6,1
652,M1,P26,2008,2,9,2
653,M1,P26,2008,3,12,3
654,M1,P26,2008,4,7,4
655,M1,P26,2008,5,3,5
656,M1,P26,2008,6,8,6
657,M1,P26,2008,7,1,7
658,M1,P26,2008,8,4,8
659,M1,P26,2008,9,12,9
660,M1,P26,2008,10,9,10
661,M1,P26,2008,11,2,11
662,M1,P26,2008,12,2,12
663,M1,P26,2009,1,3,13
664,M1,P26,2009,3,1,15
665,M1,P26,2009,7,1,19
666,M1,P26,2009,8,1,20
667,M1,P26,2009,9,1,21
668,M1,P27,2007,9,2,-3
669,M1,P28,2006,5,6,-19
670,M1,P28,2006,6,15,-18
671,M1,P28,2006,7,29,-17
672,M1,P28,2006,8,25,-16
673,M1,P28,2006,9,30,-15
674,M1,P28,2006,10,42,-14
675,M1,P28,2006,11,50,-13
676,M1,P28,2006,12,55,-12
677,M1,P28,2007,1,45,-11
678,M1,P28,2007,2,59,-10
679,M1,P28,2007,3,62,-9
680,M1,P28,2007,4,56,-8
681,M1,P28,2007,5,47,-7
682,M1,P28,2007,6,65,-6
683,M1,P28,2007,7,66,-5
684,M1,P28,2007,8,51,-4
685,M1,P28,2007,9,79,-3
686,M1,P28,2007,10,66,-2
687,M1,P28,2007,11,69,-1
688,M1,P28,2007,12,63,0
689,M1,P28,2008,1,90,1
690,M1,P28,2008,2,120,2
691,M1,P28,2008,3,104,3
692,M1,P28,2008,4,87,4
693,M1,P28,2008,5,83,5
694,M1,P28,2008,6,119,6
695,M1,P28,2008,7,123,7
696,M1,P28,2008,8,114,8
697,M1,P28,2008,9,142,9
698,M1,P28,2008,10,109,10
699,M1,P28,2008,11,87,11
700,M1,P28,2008,12,62,12
701,M1,P28,2009,1,49,13
702,M1,P28,2009,2,31,14
703,M1,P28,2009,3,19,15
704,M1,P28,2009,4,10,16
705,M1,P28,2009,5,4,17
706,M1,P28,2009,6,6,18
707,M1,P28,2009,7,9,19
708,M1,P28,2009,8,9,20
709,M1,P28,2009,9,4,21
710,M1,P28,2009,10,1,22
711,M1,P28,2009,11,1,23
712,M1,P30,2006,4,2,-20
713,M1,P30,2006,5,2,-19
714,M1,P30,2006,6,3,-18
715,M1,P30,2006,7,15,-17
716,M1,P30,2006,8,11,-16
717,M1,P30,2006,9,55,-15
718,M1,P30,2006,10,99,-14
719,M1,P30,2006,11,121,-13
720,M1,P30,2006,12,121,-12
721,M1,P30,2007,1,129,-11
722,M1,P30,2007,2,140,-10
723,M1,P30,2007,3,108,-9
724,M1,P30,2007,4,97,-8
725,M1,P30,2007,5,101,-7
726,M1,P30,2007,6,109,-6
727,M1,P30,2007,7,101,-5
728,M1,P30,2007,8,104,-4
729,M1,P30,2007,9,154,-3
730,M1,P30,2007,10,112,-2
731,M1,P30,2007,11,80,-1
732,M1,P30,2007,12,59,0
733,M1,P30,2008,1,60,1
734,M1,P30,2008,2,82,2
735,M1,P30,2008,3,75,3
736,M1,P30,2008,4,57,4
737,M1,P30,2008,5,39,5
738,M1,P30,2008,6,64,6
739,M1,P30,2008,7,57,7
740,M1,P30,2008,8,33,8
741,M1,P30,2008,9,30,9
742,M1,P30,2008,10,26,10
743,M1,P30,2008,11,10,11
744,M1,P30,2008,12,17,12
745,M1,P30,2009,1,4,13
746,M1,P30,2009,2,4,14
747,M1,P30,2009,3,5,15
748,M1,P30,2009,9,1,21
749,M1,P30,2009,10,2,22
750,M1,P31,2006,6,1,-18
751,M1,P31,2006,7,2,-17
752,M1,P31,2006,8,5,-16
753,M1,P31,2006,9,2,-15
754,M1,P31,2006,10,2,-14
755,M1,P31,2006,11,2,-13
756,M1,P31,2006,12,8,-12
757,M1,P31,2007,1,8,-11
758,M1,P31,2007,2,7,-10
759,M1,P31,2007,3,8,-9
760,M1,P31,2007,4,8,-8
761,M1,P31,2007,5,8,-7
762,M1,P31,2007,6,9,-6
763,M1,P31,2007,7,11,-5
764,M1,P31,2007,8,7,-4
765,M1,P31,2007,9,5,-3
766,M1,P31,2007,10,8,-2
767,M1,P31,2007,11,6,-1
768,M1,P31,2007,12,5,0
769,M1,P31,2008,1,9,1
770,M1,P31,2008,2,10,2
771,M1,P31,2008,3,6,3
772,M1,P31,2008,4,8,4
773,M1,P31,2008,5,4,5
774,M1,P31,2008,6,6,6
775,M1,P31,2008,7,5,7
776,M1,P31,2008,8,6,8
777,M1,P31,2008,9,3,9
778,M1,P31,2008,10,2,10
779,M1,P31,2008,12,1,12
780,M1,P31,2009,1,2,13
781,M1,P31,2009,2,2,14
782,M1,P31,2009,4,1,16
783,M1,P31,2009,9,1,21
784,M2,P01,2007,8,3,-4
785,M2,P01,2007,12,1,0
786,M2,P01,2008,4,2,4
787,M2,P01,2009,3,3,15
788,M2,P01,2009,6,2,18
789,M2,P01,2009,11,1,23
790,M2,P02,2007,4,2,-8
791,M2,P02,2007,5,8,-7
792,M2,P02,2007,6,15,-6
793,M2,P02,2007,7,16,-5
794,M2,P02,2007,8,16,-4
795,M2,P02,2007,9,9,-3
796,M2,P02,2007,10,11,-2
797,M2,P02,2007,11,15,-1
